Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP013539.1	pRphaR630b	Rhizobium phaseoli strain R630	427852
NCBI	NZ_CP017383.1	pL11623-4	Lactobacillus plantarum strain TMW 1.1623	57847
NCBI	NZ_CP022276.1	pCKPC18-1	Citrobacter freundii strain 18-1	47839
NCBI	NZ_AP017917.1	pAPPJ3	Candidatus Azobacteroides pseudotrichonymphae	21019
NCBI	NZ_CM007852.1	pKpvST147L	Klebsiella pneumoniae subsp. pneumoniae strain KpvST147L_NDM	348188
NCBI	NC_014750.1	pFTRAC01	Marivirga tractuosa DSM 4126	4988
NCBI	NC_014719.1	pCALKR01	Caldicellulosiruptor kristjanssonii I77R1B	16200
NCBI	NC_005863.1	pDV	Desulfovibrio vulgaris str. Hildenborough	205193
NCBI	NZ_CP006988.1	pRetIE4771b	Rhizobium sp. IE4771	399474
NCBI	NC_010257.1	MccC7-H22	Escherichia coli	32473
NCBI	NZ_CP021756.1	unitig_5	Klebsiella pneumoniae strain AR_0113	22957
NCBI	NZ_CP013423.1	pMSMB0852	Burkholderia sp. MSMB0852	70203
NCBI	NC_020820.1	pKB290-1	Lactobacillus brevis KB290	43057
NCBI	NC_025098.1	pAST3	Uncultured bacterium AST3	6309
NCBI	NC_003201.1	pRS2	Oenococcus oeni	2582
NCBI	NZ_CP012539.1	pPspP11G5f	Psychrobacter sp. P11G5	5911
NCBI	NZ_CM007617.1	pXF6c	Xylella fastidiosa 6c	40139
NCBI	NZ_CP012272.1	pL21532-3	Pediococcus damnosus strain TMW 2.1532	30475
NCBI	NZ_CP021536.1	unitig_2	Escherichia coli strain AR_0119	248456
NCBI	NZ_CP012485.1	plasmid-32	Bacillus cereus strain NJ-W	11913
NCBI	NZ_CP013808.1	p2PS12	Piscirickettsia salmonis strain PM31429B	51417
NCBI	NZ_CP012964.1	Unknown	Rhodobacter sphaeroides strain MBTLJ-8	115831
NCBI	NZ_CP008824.1	pKEC-39c	Enterobacter cloacae ECNIH2	324549
NCBI	NZ_CM003623.1	pSAHUG_S19a	Staphylococcus aureus subsp. aureus strain MRSA_S19	20811
NCBI	NC_020948.1	pAms2	Chlamydia trachomatis L2b/Ams2	7609
NCBI	NZ_CP020073.1	tig00000003	Klebsiella pneumoniae strain AR_0115	40332
NCBI	NZ_CP018236.1	unnamed8	Rhizobium leguminosarum strain Vaf-108	144144
NCBI	NC_010010.2	pBM300	Bacillus megaterium QM B1551	26968
NCBI	NZ_CP013162.1	unnamed11	Lactobacillus plantarum strain MF1298	4584
NCBI	NZ_CP011984.1	p500_1420-13.838kb	Klebsiella pneumoniae 500_1420	14037
NCBI	NZ_CP019215.1	pI1_WCHEC1613	Escherichia coli strain WCHEC1613	85908
NCBI	NC_010182.1	pBWB403	Bacillus weihenstephanensis KBAB4	65907
NCBI	NC_008505.1	3	Lactococcus lactis subsp. cremoris SK11	75819
NCBI	NZ_CP013504.1	pRspN561d	Rhizobium etli strain N561	763698
NCBI	NC_015910.1	cp32-7	Borreliella bissettii DN127	31208
NCBI	NZ_CP016387.1	p931IncI1	Salmonella enterica subsp. enterica serovar Typhimurium strain 13-931	94535
NCBI	NZ_CP016164.1	ISMMS_VRE11_p1	Enterococcus faecium strain ISMMS_VRE_11	205721
NCBI	NZ_CM002750.1	pHMPREF1625_2	Staphylococcus aureus 880	2401
NCBI	NZ_CP020031.1	pGeo12a	Geobacillus thermodenitrificans strain T12	59650
NCBI	NZ_CP009067.1	lp38	Borrelia afzelii K78	36631
NCBI	NC_013277.1	pMMA2	Acinetobacter baumannii	10833
NCBI	NZ_CP018070.1	unnamed1	Enterococcus faecium strain VRE001	79751
NCBI	NC_006509.1	pHTA426	Geobacillus kaustophilus HTA426	48576
NCBI	NZ_CP021739.1	tig00002897alt	Escherichia coli strain AR_0150	50954
NCBI	NZ_CP007617.1	pXO2	Bacillus anthracis strain 2000031021	96111
NCBI	NC_012511.1	29805_cp32-4	Borrelia burgdorferi 29805	31056
NCBI	NC_017433.1	pCTDLC1	Chlamydia trachomatis D-LC	7602
NCBI	NZ_CP012657.1	pMK01	Lactobacillus plantarum strain HFC8	85971
NCBI	NC_001773.1	pGT5	Pyrococcus abyssi GE5	3495
NCBI	NZ_CP007164.1	pSK37387	Virgibacillus sp. SK37	4560
NCBI	NZ_CP014208.1	Unknown	Pantoea ananatis strain R100	335789
NCBI	NZ_CP011544.1	phiCmus45274	Corynebacterium mustelae strain DSM 45274	43418
NCBI	NZ_CP011571.1	pKPC_CAV1311	Enterobacter cloacae strain CAV1311	91746
NCBI	NZ_CP013594.1	pRspN871d	Rhizobium sp. N871	763698
NCBI	NZ_CP019841.1	pASM2	Enterobacter cloacae strain R11	80233
NCBI	NZ_CP021066.1	poh5	Bacillus thuringiensis strain ATCC 10792	11495
NCBI	NC_014302.1	5	Halalkalicoccus jeotgali B3	24067
NCBI	NC_012517.1	29805_cp32-5	Borrelia burgdorferi 29805	22857
NCBI	NZ_CP014694.1	plinE154	Staphylococcus aureus subsp. aureus strain LA-MRSA ST398	2396
NCBI	NC_002112.1	pSA1.1	Streptomyces cyaneus	9144
NCBI	NZ_CP015143.1	pEC732_5	Escherichia coli strain Ecol_732	1573
NCBI	NZ_LK021128.1	p67vangNB10	Vibrio anguillarum	67754
NCBI	NZ_CP015256.1	p12509	Bacillus thuringiensis Bt18247	12689
NCBI	NC_020798.1	pXAC47	Xanthomonas axonopodis Xac29-1	47826
NCBI	NZ_CP012428.1	pSg1-2	Klebsiella pneumoniae strain KP5	55528
NCBI	NZ_CP012556.1	1	Raoultella ornithinolytica strain 18	219807
NCBI	NZ_CM003779.1	pSYAB1	Escherichia coli strain SYAU2	1575
NCBI	NC_020422.1	pTGRD3	Uncultured Termite group 1 bacterium phylotype Rs-D17	5440
NCBI	NC_002193.1	pWVO2	Lactococcus lactis cremoris Cremoris Wg2	3882
NCBI	NZ_CM004287.1	pAsa1	Aeromonas salmonicida subsp. salmonicida strain JF3791	5805
NCBI	NZ_CP006370.1	pAU20c	Aureimonas sp. AU20	315934
NCBI	NZ_CP020346.1	unnamed	Pasteurella multocida subsp. multocida strain CIRMBP-0884	329903
NCBI	NZ_CP021477.1	pPC892-6	Pediococcus pentosaceus strain SRCM100892	8423
NCBI	NC_000906.2	pIL105	Lactococcus lactis IL964	8629
NCBI	NC_023917.1	pCP-OS1	Clostridium perfringens	55316
NCBI	NC_011246.1	pl124	Borrelia recurrentis A1	125709
NCBI	NZ_CP006807.1	pMT	Yersinia pestis 790	144812
NCBI	NC_005920.1	pPMA4326D	Pseudomonas syringae pv. maculicola strain ES4326	4904
NCBI	NZ_CP014514.1	1	Frondihabitans sp. PAMC28766	215945
NCBI	NC_004838.1	pMT-1	Yersinia pestis KIM10+	102434
NCBI	NC_007365.1	pO113	Escherichia coli EH41	167914
NCBI	NC_016982.1	pGL5	Lactococcus garvieae 21881	69782
NCBI	NZ_CP009593.1	pBFC_1	Bacillus cereus strain 3a	7406
NCBI	NZ_AMBZ01000025.1	pPAV14	Paenibacillus alvei DSM 29	14314
NCBI	NC_019742.1	pMIC7113.06	Microcoleus sp. PCC 7113	29229
NCBI	NZ_CP016541.2	pPS15-1	Planococcus sp. L10.15	71686
NCBI	NZ_CP014355.1	Unknown	Coxiella burnetii strain 3345937	37933
NCBI	NC_010877.1	pASV479	Bifidobacterium pseudolongum subsp. globosum	4885
NCBI	NC_012202.1	CA-11.2A_lp36-28-4	Borrelia burgdorferi CA-11.2a	55405
NCBI	NC_010492.1	pChr15	Arthrobacter sp. Chr15	50344
NCBI	NZ_CP017022.1	pMSCT44kb	Xanthomonas citri pv. malvacearum strain MSCT	44574
NCBI	NZ_CP016597.1	pBCK802	Bacillus cereus strain K8	72882
NCBI	NZ_CP010021.1	pMT	Yersinia pestis str. Pestoides B	108522
NCBI	NZ_CP016319.1	pCD630	Clostridioides difficile strain 630 delta erm	7995
NCBI	NC_015965.1	R621a	Salmonella enterica subsp. enterica serovar Typhimurium	94518
NCBI	NZ_CP013712.1	1	Klebsiella pneumoniae strain J1	76046
NCBI	NC_020268.1	clone	Staphylococcus warneri SG1	6302
NCBI	NZ_CP011621.1	pCAV1344-78	Klebsiella pneumoniae strain CAV1344	78921
NCBI	NZ_CP014276.1	unnamed1	Martelella sp. AD-3	319274
NCBI	NC_019433.1	pCIS3	Lactococcus lactis subsp. cremoris UC509.9	6248
NCBI	NC_019000.1	pHUSEC41-2	Escherichia coli	74616
NCBI	NC_003270.1	pCC7120epsilon	Nostoc sp. PCC 7120	40918
NCBI	NZ_CP021119.1	unnamed1	Streptomyces sp. CLI2509	146087
NCBI	NZ_CP011593.1	pCAV1099-69	Klebsiella oxytoca strain CAV1099	69896
NCBI	NZ_CP015514.1	unnamed	Vibrio vulnificus strain FORC_036	938595
NCBI	NZ_CP005089.1	pTK5	Sphingobium sp. TKS	54680
NCBI	NZ_CP021834.1	tig00000500_pilon	Klebsiella pneumoniae strain AR_0120	215879
NCBI	NC_018696.1	pSYMBR3459	Paraburkholderia phenoliruptrix BR3459a	796641
NCBI	NZ_AP014871.1	pKK7	Bacillus thuringiensis serovar tolworthi	11939
NCBI	NZ_CM002397.1	pXO2	Bacillus anthracis 52-G	96161
NCBI	NC_019760.1	pMIC7113.02	Microcoleus sp. PCC 7113	94363
NCBI	NC_008765.1	pAOVO01	Acidovorax sp. JS42	73729
NCBI	NC_022901.1	Unknown	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	37421
NCBI	NC_014131.1	LkipL4701	Leuconostoc kimchii IMSNU 11154	21357
NCBI	NZ_CP020862.1	unnamed	Lactobacillus plantarum strain JBE490	7711
NCBI	NZ_HG813248.1	pLMR479a	Listeria monocytogenes R479a	87891
NCBI	NZ_CP019924.1	p_lp36	Borreliella burgdorferi strain PAbe	37374
NCBI	NC_011264.1	pl32	Borrelia duttonii Ly	32117
NCBI	NC_022880.1	pQY039	Enterococcus mundtii QU 25	39080
NCBI	NC_017102.1	pAPA32-040	Acetobacter pasteurianus IFO 3283-32	3251
NCBI	NZ_CP021673.1	pLB1106-2	Lactobacillus brevis strain SRCM101106	33722
NCBI	NC_016607.1	pPECL-4	Pediococcus claussenii ATCC BAA-344	23468
NCBI	NC_010683.1	pRPIC01	Ralstonia pickettii 12J	82092
NCBI	NZ_CP013995.1	unnamed1	Enterococcus faecium strain 6E6	386976
NCBI	NZ_CP022170.1	pS121-1a	Aeromonas salmonicida strain S121	198604
NCBI	NZ_CP014880.1	pL11989-7	Lactobacillus backii strain TMW 1.1989	7132
NCBI	NC_008213.1	PL47	Haloquadratum walsbyi DSM 16790	47538
NCBI	NZ_CP011413.1	Unknown	Sedimenticola thiotaurini strain SIP-G1	33818
NCBI	NZ_CP020891.1	unnamed2	Xanthomonas citri subsp. citri strain TX160197	48440
NCBI	NZ_CP009861.1	pECO-b75	Escherichia coli strain ECONIH1	48241
NCBI	NZ_CP016749.1	pJM1C	Lactococcus lactis subsp. cremoris strain JM1	30578
NCBI	NZ_CP017850.1	pKPGJ-2a	Klebsiella variicola strain GJ2	110523
NCBI	NZ_CP013785.1	p4PS6	Piscirickettsia salmonis strain PM49811B	34027
NCBI	NZ_CP009433.1	pBIN_1	Burkholderia glumae LMG 2196 = ATCC 33617	198822
NCBI	NZ_CP016368.1	pP97_d	Phaeobacter porticola strain P97	71818
NCBI	NZ_CP009634.1	pBFI_7	Bacillus cereus 03BB108	4969
NCBI	NZ_CP009061.1	lp17	Borrelia afzelii K78	25583
NCBI	NZ_CP010578.1	pBMB232	Bacillus thuringiensis serovar morrisoni strain BGSC 4AA1	236324
NCBI	NZ_CP023367.1	p111	Escherichia coli strain 1428	113118
NCBI	NC_019311.1	pRAY*-v1	Acinetobacter baumannii	6166
NCBI	NC_014557.1	pBS-02	Bacillus sp. BS-02	16781
NCBI	NZ_CP011164.1	pXfc37	Xanthomonas fuscans subsp. aurantifolii strain FDC 1609	37620
NCBI	NC_013788.1	pZZM405	Zymomonas mobilis subsp. mobilis ZM4	31396
NCBI	NC_004319.1	pCE2	Corynebacterium efficiens YS-314	24084
NCBI	NC_013010.1	pO157	Escherichia coli O157:H7 str. TW14359	95954
NCBI	NC_001431.1	pMBCP	Ralstonia pickettii	2275
NCBI	NZ_CP008791.1	pKPC-727	Klebsiella oxytoca KONIH1	208524
NCBI	NZ_CP010232.1	A	Escherichia coli strain S30	157647
NCBI	NC_019786.1	pMG2E-1	Mycoplasma cottewii strain Anses 15104	1057
NCBI	NZ_CP020476.1	pSMR3-2	Roseovarius mucosus strain SMR3	30729
NCBI	NZ_CP015141.1	pEC732_3	Escherichia coli strain Ecol_732	83769
NCBI	NZ_CP015865.1	unnamed	Vibrio campbellii CAIM 519 = NBRC 15631 strain ATCC 25920, CAIM 519T	75544
NCBI	NZ_CM002179.1	pBMC2	Rhodococcus aetherivorans strain BCP1	104604
NCBI	NC_015146.1	pASPHE301	Pseudarthrobacter phenanthrenivorans Sphe3	193172
NCBI	NZ_CP013257.1	3	Kocuria flava strain HO-9041	5748
NCBI	NC_007483.1	A	Nitrosococcus oceani ATCC 19707	40999
NCBI	NZ_CM004623.1	pEA77a	Klebsiella aerogenes strain Ea77	4602
NCBI	NC_019316.1	pAES4	Paracoccus aestuarii	5935
NCBI	NZ_CP009939.1	pBCN	Bacillus cereus strain 03BB87	52913
NCBI	NC_017117.1	pAPA22-010	Acetobacter pasteurianus IFO 3283-22	194163
NCBI	NZ_CP018366.1	pKp_Goe_629-2	Klebsiella pneumoniae strain Kp_Goe_62629	95785
NCBI	NC_021155.1	pSTU288-1	Salmonella enterica subsp. enterica serovar Typhimurium str. U288	150837
NCBI	NZ_CP022141.1	unnamed2	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K	83898
NCBI	NZ_CP018918.1	unnamed2	Serratia marcescens strain UMH5	102139
NCBI	NZ_CP021778.1	unitig_3	Enterobacter cloacae strain AR_0053	72978
NCBI	NZ_CP016564.1	pA3EZ223_37	Salmonella enterica subsp. enterica serovar Heidelberg strain A3EZ223	38237
NCBI	NZ_CP020608.1	pLd4	Lactococcus lactis subsp. lactis bv. diacetylactis strain FM03	12178
NCBI	NZ_CP022465.2	unnamed	[Clostridium] bolteae strain ATCC BAA-613	44488
NCBI	NZ_AP011953.1	pCaT2	Methanothermobacter sp. CaT2	11174
NCBI	NZ_CP018433.1	pMNCRE53_1	Klebsiella pneumoniae strain MNCRE53	15493
NCBI	NC_009344.1	pSD197_spA	Shigella dysenteriae Sd197	9082
NCBI	NC_019254.1	pMO17_54	Shigella sp. MO17	55068
NCBI	NC_013213.1	pAPA01-040	Acetobacter pasteurianus IFO 3283-01	3251
NCBI	NC_019326.1	p3132-53	Arthrobacter sp. 31-32	48511
NCBI	NZ_CP014097.1	unnamed2	Shigella sonnei strain FDAARGOS_90	1609
NCBI	NC_007720.1	pAYWB-IV	Aster yellows witches'-broom phytoplasma AYWB	4379
NCBI	NZ_CP015330.1	pBEH8	Bacillus endophyticus strain Hbe603	5127
NCBI	NZ_CP019746.1	pl12111-3	Lactobacillus brevis strain TMW 1.2111	48383
NCBI	NZ_CP013174.1	unnamed23	Lactobacillus plantarum strain MF1298	1872
NCBI	NZ_CP012537.1	pPspP11G5d	Psychrobacter sp. P11G5	9284
NCBI	NC_016847.1	pKPHS5	Klebsiella pneumoniae subsp. pneumoniae HS11286	3402
NCBI	NZ_CP020717.1	unnamed2	Cnuibacter physcomitrellae strain XA(T)	76476
NCBI	NZ_CP012755.1	KP-plasmid2	Klebsiella pneumoniae strain KP617	6230
NCBI	NZ_CP013156.1	unnamed5	Lactobacillus plantarum strain MF1298	17307
NCBI	NC_009623.1	pKMA5	Actinobacillus porcitonsillarum pKMA5	9687
NCBI	NZ_CP022171.1	pS121-2	Aeromonas salmonicida strain S121	71869
NCBI	NZ_CP009020.1	pXAC33	Xanthomonas citri subsp. citri strain FB19	27319
NCBI	NZ_CP020856.1	pKPN528-3	Klebsiella pneumoniae strain KPN528	77247
NCBI	NC_006462.1	pTT27	Thermus thermophilus HB8	260665
NCBI	NC_015313.1	pPSED03	Pseudonocardia dioxanivorans CB1190	15280
NCBI	NZ_CP012448.1	ISMMS_VRE4_p2	Enterococcus faecium strain ISMMS_VRE_4	174548
NCBI	NZ_CP021514.1	pAP1342-5	Acetobacter pasteurianus subsp. pasteurianus strain SRCM101342	43637
NCBI	NC_013536.1	pSN	Haloterrigena thermotolerans strain H13	2306
NCBI	NZ_CP022047.1	unnamed1	Staphylococcus sciuri strain FDAARGOS_285	91055
NCBI	NZ_CP017929.1	pKPC_UVA02	Klebsiella oxytoca strain CAV1015	114722
NCBI	NZ_CP020617.1	Unknown	Coxiella burnetii strain RSA 439	37854
NCBI	NC_017263.1	pCD	Yersinia pestis biovar Medievalis str. Harbin 35	69533
NCBI	NZ_CP018341.1	pKp_Goe_414-4	Klebsiella pneumoniae isolate Kp_Goe_154414	82809
NCBI	NC_021977.1	Apa386Bp4	Acetobacter pasteurianus 386B	11265
NCBI	NZ_CP018320.1	Unknown	Pseudomonas frederiksbergensis strain AS1	83012
NCBI	NZ_CP010801.1	pRMAN01	Ralstonia mannitolilytica strain SN82F48	193266
NCBI	NZ_CP013033.1	pccdm3	Campylobacter coli strain CO2-160	44861
NCBI	NZ_CP021367.1	pACP4.1	Acidovorax sp. P4	272996
NCBI	NC_010509.1	pMRAD02	Methylobacterium radiotolerans JCM 2831	47676
NCBI	NZ_CP016310.1	pVS53	Vibrio scophthalmi strain VS-12	54755
NCBI	NZ_CP018901.1	pCOS502	Campylobacter coli strain YH502	127765
NCBI	NZ_CP014978.1	pSTY1-1896	Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1896	149402
NCBI	NC_015169.1	pDEIPR01	Deinococcus proteolyticus MRP	319013
NCBI	NZ_CM003312.1	unnamed	Exiguobacterium sp. JLM-2	15794
NCBI	NC_001383.1	pNKH43	Stenotrophomonas maltophilia	1494
NCBI	NZ_CP009316.1	Unknown	Bacillus anthracis str. Turkey32	184358
NCBI	NZ_CP008832.1	pKPN-294	Klebsiella pneumoniae subsp. pneumoniae KPR0928	14040
NCBI	NZ_CP021998.2	pPLP-1	Lactobacillus plantarum strain LPL-1	13910
NCBI	NC_019752.1	pCAL6303.03	Calothrix sp. PCC 6303	56129
NCBI	NC_009700.1	pCLI	Clostridium botulinum F str. Langeland	17783
NCBI	NZ_CP014321.1	pJJ1887-4	Escherichia coli JJ1887	109044
NCBI	NZ_CP014202.1	Unknown	Lactobacillus rhamnosus strain BFE5264	47270
NCBI	NC_011077.1	pCVM29188_101	Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188	102912
NCBI	NC_004429.1	pIS2	Escherichia coli	6441
NCBI	NZ_CP015335.1	cp6.5	Borrelia hermsii HS1 isolate Browne Mountain	6635
NCBI	NC_023055.1	LA635P1	Erwinia amylovora LA635	28680
NCBI	NZ_CP013134.1	pHJ51	Rickettsia rhipicephali strain HJ#5	29321
NCBI	NC_015462.1	pRAM32	Candidatus Rickettsia amblyommii AaR/SC	32430
NCBI	NC_019986.1	pB1023	Enterobacter cloacae strain BB1092	3562
NCBI	NC_004719.1	SAP1	Streptomyces avermitilis MA-4680 = NBRC 14893	95635
NCBI	NZ_CP013324.1	pCAV1193-166	Klebsiella pneumoniae strain CAV1193	168866
NCBI	NZ_CP023177.1	pLtBDGP2C	Lactobacillus plantarum strain BDGP2	41825
NCBI	NZ_CP019439.1	unnamed2	Thioclava nitratireducens strain 25B10_4	115631
NCBI	NZ_CP022238.1	unnamed2	Exiguobacterium oxidotolerans strain N4-1P	412129
NCBI	NC_013657.1	pKF147A	Lactococcus lactis subsp. lactis KF147	38047
NCBI	NC_012528.1	3	Deinococcus deserti VCD115	402124
NCBI	NZ_CM007782.1	pRpELI1980	Rhodopseudomonas palustris strain ELI 1980	8605
NCBI	NC_014763.1	pSULKU04	Sulfuricurvum kujiense DSM 16994	3471
NCBI	NZ_CP015988.1	pEP1	Sphingobium sp. EP60837	273062
NCBI	NC_011605.1	pVGA	Staphylococcus aureus	5796
NCBI	NC_007186.1	from	Sodalis glossinidius pSG3	19477
NCBI	NC_016151.1	pCfc1	Citrobacter freundii	6817
NCBI	NC_019366.1	pAES7	Paracoccus aestuarii	13192
NCBI	NC_018999.1	EaACW_pEI70	Erwinia amylovora ACW56400	66782
NCBI	NC_015409.1	pVMKU	Verrucosispora maris AB-18-032	59129
NCBI	NZ_CP007132.1	unnamed	Chlamydia trachomatis D/CS637/11	7602
NCBI	NC_012257.1	118a_cp32-10	Borrelia burgdorferi 118a	30776
NCBI	NZ_CP021364.1	pACP3.2	Acidovorax sp. P3	159165
NCBI	NZ_CM007885.1	unnamed2	Campylobacter jejuni strain VA25	21100
NCBI	NC_002760.1	pAC450	Acinetobacter sp. EB104,	4443
NCBI	NZ_CP014114.1	unnamed1	Staphylococcus saprophyticus strain FDAARGOS_168	37436
NCBI	NC_019979.1	pIG1	Pasteurella aerogenes strain BB1084	5438
NCBI	NC_021207.1	pTP1	Thermococcus prieurii	3172
NCBI	NZ_AGFM01000122.1	pLA1	Novosphingobium pentaromativorans US6-1	191170
NCBI	NZ_CM003358.1	pMEA07	Sphingomonas sp. MEA3-1	6197
NCBI	NC_001898.1	pUCD5000	Tatumella citrea	5305
NCBI	NC_005970.1	pRK2	Escherichia coli cryptic	5438
NCBI	NC_014728.1	Unknown	Lactobacillus delbrueckii subsp. bulgaricus ND02	6313
NCBI	NC_010579.1	pXFAS01	Xylella fastidiosa M23	38846
NCBI	NC_019014.1	pAAk1	Aeromonas dhakensis AAK1	4222
NCBI	NC_010042.1	p9956	Actinobacillus pleuropneumoniae	5757
NCBI	NC_009620.1	pSMED01	Sinorhizobium medicae WSM419	1593395
NCBI	NC_019733.1	pCRI9333.01	Crinalium epipsammum PCC 9333	55765
NCBI	NC_005907.1	pIT3	Sulfolobus solfataricus	5039
NCBI	NC_015909.1	cp32-5	Borreliella bissettii DN127	30365
NCBI	NC_012853.1	pR132503	Rhizobium leguminosarum bv. trifolii WSM1325	523462
NCBI	NZ_CP012941.1	pUW163a	Ralstonia solanacearum strain UW163	118189
NCBI	NZ_CP017632.1	pSLK172-1	Escherichia coli SLK172	374575
NCBI	NZ_CP013593.1	pRspN871c	Rhizobium sp. N871	508237
NCBI	NC_017017.1	pPECL-6	Pediococcus claussenii ATCC BAA-344	19070
NCBI	NZ_CP009975.1	pTTS12	Pseudomonas putida S12	592243
NCBI	NZ_CP011598.1	pKPC_CAV1151	Kluyvera intermedia strain CAV1151	44246
NCBI	NC_019329.1	pDFL14-10	Sulfitobacter sp. DFL14	10741
NCBI	NZ_CP014827.1	genomic	Borrelia hermsii strain DAH-2E7	3459
NCBI	NZ_CP016694.1	p229A	Lactococcus lactis subsp. lactis strain 229	57175
NCBI	NC_006823.1	1	Azoarcus sp. EbN1	210319
NCBI	NZ_CP010416.1	pAcX50a	Azotobacter chroococcum NCIMB 8003	10586
NCBI	NZ_CP012466.1	ISMMS_VRE8_p3	Enterococcus faecium strain ISMMS_VRE_8	107383
NCBI	NC_011789.1	lp17	Borrelia afzelii ACA-1	26393
NCBI	NC_012226.1	pBHWA1	Brachyspira hyodysenteriae WA1	36455
NCBI	NZ_CP011600.1	pCAV1151-215	Kluyvera intermedia strain CAV1151	218166
NCBI	NC_019006.1	297_cp32-3	Borrelia burgdorferi 297	30696
NCBI	NC_002054.1	pSM1	Zygosaccharomyces fermentati	5495
NCBI	NZ_LT883154.1	2	Salmonella enterica subsp. enterica serovar Typhi strain ERL12148 genome assembly,	108232
NCBI	NC_015322.1	Unknown	Lactobacillus amylovorus GRL 1112	25647
NCBI	NZ_CP015368.1	CBMB27-p1	Methylobacterium phyllosphaerae strain CBMB27	146228
NCBI	NZ_CP015793.1	lp36	Borrelia mayonii strain MN14-1420	45680
NCBI	NZ_CP008898.1	pENT-576	Enterobacter cloacae ECNIH3	63138
NCBI	NZ_CP010579.1	pBMB92	Bacillus thuringiensis serovar morrisoni strain BGSC 4AA1	93944
NCBI	NC_018422.1	pPGA2_71	Phaeobacter inhibens 2.10	71391
NCBI	NZ_CP022155.1	pABWA45_1	Escherichia coli strain ABWA45	147296
NCBI	NZ_CP011135.1	pVR50A	Escherichia coli VR50	71542
NCBI	NZ_CM003354.1	pMEA03	Sphingomonas sp. MEA3-1	111383
NCBI	NZ_CM003625.1	pSAHUG_S26a	Staphylococcus aureus subsp. aureus strain MRSA_S26	20810
NCBI	NC_006278.1	p256	Lactobacillus plantarum NC7	7327
NCBI	NC_007100.1	Rms149	Pseudomonas aeruginosa	57939
NCBI	NC_010021.1	Unknown	Zymomonas mobilis subsp. mobilis ATCC 10988 unknown	2790
NCBI	NC_013366.1	pO111_3	Escherichia coli O111:H- str. 11128	78801
NCBI	NC_014170.1	XNC1_p	Xenorhabdus nematophila ATCC 19061	157547
NCBI	NC_010878.1	pL4C	Thermus sp. 4C	21553
NCBI	NZ_CP013565.1	pRphaN831b	Rhizobium phaseoli strain N831	437650
NCBI	NZ_CP013592.1	pRspN871b	Rhizobium sp. N871	439244
NCBI	NZ_CP007643.1	pRetIE4803b	Rhizobium etli bv. phaseoli str. IE4803	506268
NCBI	NC_014301.1	4	Halalkalicoccus jeotgali B3	45096
NCBI	NZ_CP020385.1	pRSMBA	Rhodovulum sp. MB263	242125
NCBI	NZ_CM001164.1	pWS8N_B	Rhodobacter sphaeroides WS8N	202749
NCBI	NC_019688.1	pNetB-NE10	Clostridium perfringens	82862
NCBI	NZ_CP012452.1	ISMMS_VRE4_p5	Enterococcus faecium strain ISMMS_VRE_4	5326
NCBI	NC_008539.1	3	Arthrobacter sp. FB24	97868
NCBI	NZ_CP011588.1	pCAV1043-58	Enterobacter asburiae strain CAV1043	59263
NCBI	NZ_CP009038.1	pXCAW19	Xanthomonas citri subsp. citri strain AW16	19140
NCBI	NC_010578.1	pBIND02	Beijerinckia indica subsp. indica ATCC 9039	67682
NCBI	NC_010514.1	pMRAD03	Methylobacterium radiotolerans JCM 2831	43601
NCBI	NC_012848.1	pR132501	Rhizobium leguminosarum bv. trifolii WSM1325	840767
NCBI	NZ_CP018429.1	pMNCRE78_2	Klebsiella pneumoniae strain MNCRE78	45936
NCBI	NZ_CP014491.1	pG749_3	Escherichia coli strain G749	63467
NCBI	NC_013777.1	pSSVi	Sulfolobus solfataricus P2	5823
NCBI	NC_016049.1	pPO1	Picrophilus oshimae	7757
NCBI	NC_012266.1	118a_cp32-6	Borrelia burgdorferi 118a	31050
NCBI	NZ_CP021480.1	pLB1174-2	Lactobacillus brevis strain SRCM101174	51111
NCBI	NZ_CP011634.1	pCAV1374-228	Klebsiella oxytoca strain CAV1374	230934
NCBI	NC_012180.1	VS116_lp17	Borreliella valaisiana VS116	20312
NCBI	NZ_CP021478.1	pLB1174-1	Lactobacillus brevis strain SRCM101174	36446
NCBI	NZ_CP015026.1	pKPN-065	Klebsiella pneumoniae strain Kpn223	173369
NCBI	NZ_CP013948.1	pPsCRG01-3	Piscirickettsia salmonis strain PSCGR01	52307
NCBI	NZ_CP021429.1	p11	Acinetobacter pittii strain HUMV-6483	114214
NCBI	NC_019281.1	pNDM-BJ02	Acinetobacter lwoffii	46826
NCBI	NC_022228.1	Unknown	Staphylococcus aureus subsp. aureus CN1	2509
NCBI	NZ_CP010158.1	A	Escherichia coli strain D10	130451
NCBI	NZ_CP009624.1	unamed	Staphylococcus agnetis strain 908	29380
NCBI	NZ_CP012973.1	pST20130938	Staphylococcus aureus strain ST20130938	20929
NCBI	NZ_CP019232.1	pYGD36	Bacillus thuringiensis strain YGd22-03	37504
NCBI	NZ_CP009347.1	3	Bacillus thuringiensis HD1002	238790
